fid,시도명,시군구명,읍면명,회관명,소재지,Latitude,Longitude,규모(제곱미터),데이터기준일자,ringId,distance,NUMPOINTS
"164",전라남도,담양군,무정면,내당 마을회관,전라남도 무정면 오룡2리 460-1,35.2948718,127.0301411,83.75,2022/05/27,"1",1000.000000,0
"165",전라남도,담양군,무정면,오봉 마을회관,전라남도 무정면 오봉리 134-1,35.2813723,126.9855422,58.8,2022/05/27,"1",1000.000000,0
"166",전라남도,담양군,무정면,죽산 마을회관,전라남도 무정면 영천1리 484-1,35.2957814,126.9857795,453,2022/05/27,"1",1000.000000,0
"167",전라남도,담양군,무정면,봉서 마을회관,전라남도 무정면 영천2리 424-5,35.2948718,127.0301411,79.33,2022/05/27,"1",1000.000000,0
"168",전라남도,담양군,무정면,중리 마을회관,전라남도 무정면 성도1리 199-2,35.292171,127.0006393,119.09,2022/05/27,"1",1000.000000,0
"169",전라남도,담양군,무정면,성덕 마을회관,전라남도 무정면 성도2리 593-6,35.2948718,127.0301411,90.72,2022/05/27,"1",1000.000000,0
"170",전라남도,담양군,무정면,칠전 마을회관,전라남도 무정면 동산1리 996-2,35.2948718,127.0301411,82.35,2022/05/27,"1",1000.000000,0
"171",전라남도,담양군,무정면,칠지 마을회관,전라남도 무정면 동산2리 564-3,35.2948718,127.0301411,165,2022/05/27,"1",1000.000000,0
"172",전라남도,담양군,무정면,동산 마을회관,전라남도 무정면 동산3리 138-1,35.2948718,127.0301411,75.45,2022/05/27,"1",1000.000000,0
"173",전라남도,담양군,무정면,안평 마을회관,전라남도 무정면 안평리 202-1,35.2897628,127.0572436,98.73,2022/05/27,"1",1000.000000,0
"174",전라남도,담양군,무정면,덕곡 마을회관,전라남도 무정면 덕곡리 297-1,35.2969656,127.0638437,87.08,2022/05/27,"1",1000.000000,0
