,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
19353,TSB332000308,유전,1.0,N,Yu Jeon,34.555886,127.143897,2021/09/16 04:01:26,3320308.0,36350,고흥군
19354,TSB332000309,내초,1.0,N,Nae Cho,34.556075,127.395144,2021/09/16 04:01:26,3320309.0,36350,고흥군
19355,TSB332000310,내초,1.0,N,Nae Cho,34.556193,127.395092,2021/09/16 04:01:26,3320310.0,36350,고흥군
19356,TSB332000311,봉덕,1.0,N,Bong Deok,34.55663,127.348326,2021/09/16 04:01:26,3320311.0,36350,고흥군
19357,TSB332000312,봉동,1.0,N,Bong Dong,34.556832,127.182503,2021/09/16 04:01:26,3320312.0,36350,고흥군
19358,TSB332000313,봉덕,1.0,N,Bong Deok,34.556895,127.348436,2021/09/16 04:01:26,3320313.0,36350,고흥군
19359,TSB332000314,봉동,1.0,N,Bong Dong,34.55694,127.182525,2021/09/16 04:01:26,3320314.0,36350,고흥군
19360,TSB332000315,도촌마을,1.0,N,Do Chon Ma Eul,34.557137,127.158167,2021/09/16 04:01:26,3320315.0,36350,고흥군
19361,TSB332000316,도촌마을,1.0,N,Do Chon Ma Eul,34.55717,127.158045,2021/09/16 04:01:26,3320316.0,36350,고흥군
19362,TSB332000317,내율,1.0,N,Nae Yul,34.557201,127.249746,2021/09/16 04:01:26,3320317.0,36350,고흥군
19363,TSB332000318,내율,1.0,N,Nae Yul,34.557243,127.249625,2021/09/16 04:01:26,3320318.0,36350,고흥군
19364,TSB332000319,안동,1.0,N,An Dong,34.558389,127.220073,2021/09/16 04:01:26,3320319.0,36350,고흥군
19365,TSB332000320,안동,1.0,N,An Dong,34.558497,127.220157,2021/09/16 04:01:26,3320320.0,36350,고흥군
19366,TSB332000321,문암,1.0,N,Mun Am,34.558668,127.226399,2021/09/16 04:01:26,3320321.0,36350,고흥군
