시도명,시군구명,읍면명,회관명,소재지,규모(제곱미터),데이터기준일자
전라남도,담양군,월산면,도개 마을회관,전라남도 월산면 월산4리 494-3,218.88,2022-05-27
전라남도,담양군,월산면,월평 마을회관,전라남도 월산면 월평1리 556-1,140.4,2022-05-27
전라남도,담양군,월산면,신평 마을회관,전라남도 월산면 월평2리 849-1,70,2022-05-27
전라남도,담양군,월산면,왕산 마을회관 ,전라남도 월산면 월평3리 192-1,140.4,2022-05-27
전라남도,담양군,월산면,월곡 마을회관,전라남도 월산면 중월2리 348,83.33,2022-05-27
전라남도,담양군,월산면,도동 마을회관,전라남도 월산면 용흥1리 142-1,76.48,2022-05-27
전라남도,담양군,월산면,가곡 마을회관 ,전라남도 월산면 용흥2리 298-3,72.8,2022-05-27
전라남도,담양군,월산면,용금 마을회관,전라남도 월산면 용암1리 549-1,83.98,2022-05-27
전라남도,담양군,월산면,홍암 마을회관,전라남도 월산면 용암2리 205-1,102.9,2022-05-27
전라남도,담양군,월산면,용산 마을회관,전라남도 월산면 신계리 320-1,65.34,2022-05-27
전라남도,담양군,월산면,박산 마을회관,전라남도 월산면 신계리 28,175.21,2022-05-27
전라남도,담양군,월산면,사암 마을회관,전라남도 월산면 광암1리 255,48.88,2022-05-27
전라남도,담양군,월산면,월천 마을회관,전라남도 월산면 광암2리 305-1,63.6,2022-05-27
전라남도,담양군,월산면,광덕 마을회관 ,전라남도 월산면 광암3리 716-1,66.18,2022-05-27
전라남도,담양군,월산면,오성 마을회관,전라남도 월산면 오성리 183-5,20.6,2022-05-27
전라남도,담양군,월산면,내동 마을회관,전라남도 월산면 오성리 323-14,71.02,2022-05-27
전라남도,담양군,월산면,군수동 마을회관,전라남도 월산면 오성리 63-6,65.02,2022-05-27
전라남도,담양군,월산면,복정 마을회관 ,전라남도 월산면 월계1리 347,237.5,2022-05-27
전라남도,담양군,월산면,농암 마을회관,전라남도 월산면 월계2리 650-1,99,2022-05-27
전라남도,담양군,월산면,마산 마을회관,전라남도 월산면 화방1리 514-1,86.47,2022-05-27
전라남도,담양군,월산면,봉명 마을회관,전라남도 월산면 화방2리 241-1,88.06,2022-05-27
전라남도,담양군,월산면,송정 마을회관,전라남도 월산면 화방3리 581-11,49.14,2022-05-27
전라남도,담양군,수북면,나산 마을회관,전라남도 수북면 나산리 171-1,95.57,2022-05-27
전라남도,담양군,수북면,개동 마을회관,전라남도 수북면 개동리 630-6,106.7,2022-05-27
전라남도,담양군,수북면,정중 마을회관,전라남도 수북면 정중리 746,151.9,2022-05-27
전라남도,담양군,수북면,금구동 마을회관,전라남도 수북면 황금리 96-24,109.8,2022-05-27
전라남도,담양군,수북면,황덕 마을회관,전라남도 수북면 황금리 298-5,168.4,2022-05-27
전라남도,담양군,수북면,고리대 마을회관,전라남도 수북면 고성1리 319-1,453.6,2022-05-27
전라남도,담양군,수북면,월성산 마을회관,전라남도 수북면 고성2리 645-1,131.2,2022-05-27
전라남도,담양군,수북면,오정1구 마을회관,전라남도 수북면 오정1리 208-1,249.7,2022-05-27
전라남도,담양군,수북면,삼인동 마을회관,전라남도 수북면 오정2리 691-2,97.81,2022-05-27
전라남도,담양군,수북면,송정 마을회관,전라남도 수북면 대방1리 955-58,106.2,2022-05-27
전라남도,담양군,수북면,원대방 마을회관,전라남도 수북면 대방2리 706-1,280.4,2022-05-27
전라남도,담양군,수북면,포백 마을회관,전라남도 수북면 대방3리 101-32,93.6,2022-05-27
전라남도,담양군,수북면,원궁산 마을회관,전라남도 수북면 궁산1리 288-1,85.75,2022-05-27
전라남도,담양군,수북면,구암 마을회관,전라남도 수북면 궁산2리 222,99.2,2022-05-27
전라남도,담양군,수북면,두정(경산) 마을회관,전라남도 수북면 두정리 465,136.9,2022-05-27
전라남도,담양군,수북면,두동 마을회관,전라남도 수북면 두정리 72,88.74,2022-05-27
전라남도,담양군,수북면,주평 마을회관,전라남도 수북면 주평1리 245,164.2,2022-05-27
전라남도,담양군,수북면,풍수1구 마을회관,전라남도 수북면 풍수리 808-4,109.1,2022-05-27
전라남도,담양군,수북면,풍수2구 마을회관,전라남도 수북면 풍수리 702,111.9,2022-05-27
전라남도,담양군,수북면,풍수3구 마을회관,전라남도 수북면 풍수리 74-1,55.62,2022-05-27
전라남도,담양군,수북면,남산 마을회관,전라남도 수북면 남산리 355-1,73.6,2022-05-27
