연번,읍면동,리,지 번,마을회관명,토지소유자,건물소유자,건립일자,대지면적 (제곱미터),총면적(제곱미터),마을회관 면적(제곱미터),주구조,마을회관사용1,마을회관사용2,노유자시설사용(경로당)
231,여천동,선원,218-6,신가곡,선원동13통새마을회,선원동13통새마을회,1993-04-01,385.3,199.32,96.36,철근콘크리트시멘트벽돌,2층,,"1층경로,2층마을"
232,여천동,선원,396-6,반월,반월마을회,반월마을회,1983-06-30,416,202.89,106.74,철근콘크리트,1층,,"1층경로,2층마을"
233,여천동,여천,185-1,내동,여천내동새마을회,여천내동새마을회,1999-09-07,141.35,99.22,59.02,벽돌구조,1층,,
234,여천동,화장,845-7,대통,화장동대통마을회,화장동대통마을회,1999-04-08,240.7,63.28,,조적조,1층,,"1층경로,2층마을"
235,여천동,화장,839-11,성산,화장동화치마을회,화장동화치마을회,2003-12-03,245.6,92.65,,벽돌구조,1층,,"1층경로,2층마을"
236,여천동,화장,944-39,신촌,화장동신촌새마을회,화장동신촌새마을회,2009-06-03,231.4,115.44,,철근콘크리트조,1층,,"1층경로,2층마을"
237,여천동,화장,772-2,화산,화산마을,화산마을,1998-03-03,226.5,175.78,175.78,철근콘크리트조,"1,2층",,"1층경로,2층마을"
238,여천동,화장,312-6,군장,군장마을회,화장리새마을회,1982-05-01,268,215.14,,시멘트벽돌,2층,,"1층경로,2층마을"
239,여천동,화장,639,상군장,상군장마을회,상군장마을회,2004-10-29,585,125.97,78,시멘트벽돌,2층,,"1층경로,2층마을"
240,여천동,선원,1230-9,용성,용성새마을회,용성새마을회,1992-11-24,236.7,146.1,,철근콘크리트,2층,,
241,여천동,선원,1269-12,사포,선원새마을노인회,선원새마을노인회,1995-11-30,232.2,81.45,,시멘트벽돌,1층,,
242,여천동,화장,857-2,화치,화치마을회,화치마을회,2000-09-28,371.6,58.24,58.24,시멘트벽돌,2층,,"1층경로,2층마을"
243,여천동,화장,889-7,신풍,화장신풍마을회,화장신풍마을회,2003-10-23,248.3,99.41,,벽돌구조,1층,,
244,여천동,화장,897-77,두암,두암이주민새마을회,두암이주민새마을회,2007-12-10,221.9,128.94,,철근콘크리트,1층,,
245,주삼동,주삼,273-1,주암,주암부락새마을회,주암동주암새마을회,1990-05-01,713,372.21,95.04,"라멘조, 시멘블럭, 조적조",2층,,
246,주삼동,주삼,933-2,주동,주동부락영농회,주동새마을회,1991-09-01,331,116.27,116.27,시멘벽돌조,1층,,
247,주삼동,봉계,413-8,월앙,월앙새마을회,월앙새마을회,1991-02-01,265,222.98,85.49,시멘벽돌,2층,,1층경로당
248,주삼동,봉계,322-1,봉강,서인순 외 1인,봉계동새마을회,1988-02-29,725,173.04,46.07,시멘벽돌,2층,,1층경로당
249,주삼동,봉계,"512, 513",계원,계원새마을회,계원새마을회,1985-06-27,,116.4,116.4,"시멘벽돌,시멘브럭",1층,,
250,주삼동,해산,370-2,해지,해산리,마을회관,1985-02-01,,102.3,102.3,"시멘벽돌,시멘블럭",1층,,
